Armenian Script,Translit.,English Meaning,Example Sentence + [Translation],Grammar (Root/Infinitive + Imperative),Cheat Phrase (Mnemonic),Topic/Tag
Ամեն ինչ լավ է,Amen inch' lav e,All is well,"Բարև, ինչպե՞ս ես։ - Շնորհակալություն, ամեն ինչ լավ է։ [Hello, how are you? - Thanks, all is well.]","Phrase. Ամեն (amen) means 'every'. Ինչ (inch') means 'thing'. Լավ (lav) means 'good'. Է (e) is the verb 'to be' (is). Literally: ""Every thing good is.""","""Amen, inch is all well,"" the preacher said, pointing at the inchworm on the good bread.",General
Ասա՛,asa,Say!,"Խնդրում եմ, ասա՛ ճշմարտությունը։ [Please, say the truth.]","Verb. Infinitive: ասել (asel). Imperative (singular, informal): ասա՛ (asa).","I *assure* you, just *say* it!",Actions & Verbs
Արի՛,ari,Come!,"Արի՛ այստեղ, մի բան ցույց տամ։ [Come here, let me show you something.]","Verb. Infinitive: գալ (gal). Imperative (singular, informal): արի՛ (ari). Note the irregular imperative form.",An *ari*a from the opera makes everyone *come* to the window.,Actions & Verbs
Ափսոս,ap'sos,It's a pity,"Ափսոս, որ չկարողացար գալ։ [It's a pity that you couldn't come.]",Interjection/Adverb. Root: ափսոս (ap'sos). No changes for case or number.,"*Oops, so sad* it's a pity I dropped my phone.",Emotions & Physical States
Բարի ախորժակ,Bari akhorzhak,Enjoy meal,"Ընթրիքը պատրաստ է, բոլորիդ բարի ախորժակ։ [Dinner is ready, enjoy your meal everyone.]","Phrase. Բարի (Bari) means 'good'. Ախորժակ (akhorzhak) means 'appetite'. Literally: ""Good appetite.""","*Barry* the *acrobat* always wished us a ""good appetite"" before he ate.",Food & Dining
Ժամը քանի՞սն է,Zham@ k'anisn e,What time?,"Ներողություն, ժամը քանի՞սն է։ [Excuse me, what time is it?]","Phrase. Ժամը (Zham@) is 'the hour'. Քանիսն (k'anisn) is 'which number'. Է (e) is 'is'. Literally: ""The hour is which number?""","""What time is it?"" The genie in the *jam* jar asked, ""*How nice* it is to be free!""","Time, Calendar & Seasons"
Ի՞նչ արժե,Inch' arzhe,How much?,Այս գիրքը ի՞նչ արժե։ [How much does this book cost?],Phrase. Ինչ (Inch') means 'what'. Արժե (arzhe) means 'it costs' or 'it is worth'.,*How much* does an *inch* of this *azure* blue fabric cost?,General
Ի՞նչ կա չկա,Inch' ka ch'ka,What's up?,"Ողջույն, Արամ, ի՞նչ կա չկա։ [Hi, Aram, what's up?]","Colloquial Phrase. Literally ""What is there, what isn't there?"". Կա (ka) means 'there is'. Չկա (ch'ka) means 'there is not'.","*Inch ka ch'ka*? I have an *itch* to *catch a* movie, what's up with you?",General
Ինձ պետք է,Indz p'etk' e,I need,Ինձ պետք է մի բաժակ ջուր։ [I need a glass of water.],"Phrase. Ինձ (Indz) is the dative case of 'I' (to me). Պետք է (p'etk' e) means 'is necessary'. The construction is impersonal: ""To me is necessary...""","*I need* a *pet cat*, so I'll go to the shelter *in this* taxi.",General
Կե՛ր,ker,Eat!,Կե՛ր այս համեղ խնձորը։ [Eat this delicious apple.],"Verb. Infinitive: ուտել (utel). Imperative (singular, informal): կե՛ր (ker). Note the irregular imperative form.",I *care* that you *eat* your vegetables!,Actions & Verbs
Շատ թանկ է,Shat t'ank e,It's very expensive,"Այս ժամացույցը շատ գեղեցիկ է, բայց շատ թանկ է։ [This watch is very beautiful, but it's very expensive.]",Phrase. Շատ (Shat) means 'very' or 'a lot'. Թանկ (t'ank) means 'expensive'. Է (e) is 'is'.,"I *shot* the *tank* with a water pistol, but it was *very expensive* to replace.",General
Շատ հաճելի է,Shat hacheli e,Nice to meet you,"Բարև ձեզ, ես Աննան եմ։ - Շատ հաճելի է։ [Hello, I am Anna. - Nice to meet you.]","Phrase. Շատ (Shat) means 'very'. Հաճելի (hacheli) means 'pleasant'. Է (e) is 'is'. Literally: ""It is very pleasant.""","*It's nice to meet you*, said the jolly man, ""*Shaaat*, that's a *hot chili*!""",General
Սուս,sus,Hush!,"Սո՛ւս, երեխան քնած է։ [Hush, the baby is sleeping.]",Interjection. Root: սուս (sus). Onomatopoeic.,"The spy said ""*Hush*!"" because he was *sus*picious.",General
